1000000;2272
1500000;3193
2000000;4152
2500000;5421
3000000;5487
3500000;8584
4000000;8575
4500000;9347
5000000;10873
5500000;11312
6000000;12975
6500000;13707
7000000;15782
7500000;15898
8000000;18035
8500000;16488
9000000;20738
9500000;23464
10000000;22634
